,ID,Gender,Own_car,Own_property,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
0,5008804,Male,Yes,Yes,No,0,2,15,427500.0,32.86857361889703,12.4355736257418,Working,Higher education,Civil marriage,Rented apartment,Other,High
1,5008806,Male,Yes,Yes,No,0,2,29,112500.0,58.79381506807121,3.1047865459249677,Working,Secondary / secondary special,Married,House / apartment,Security staff,Low
2,5008808,Female,No,Yes,No,0,1,4,270000.0,52.32140290355038,8.353354278321937,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,Low
3,5008812,Female,No,Yes,Yes,0,1,20,283500.0,61.504343004989835,0.0,Pensioner,Higher education,Separated,House / apartment,Other,Low
4,5008815,Male,Yes,Yes,No,0,2,5,270000.0,46.1939670219101,2.1054504883741623,Working,Higher education,Married,House / apartment,Accountants,Low
5,5008819,Male,Yes,Yes,No,0,2,17,135000.0,48.67451077024169,3.269060966344278,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,Low
6,5008825,Female,Yes,No,No,0,2,25,130500.0,29.210729857560388,3.019911428708324,Working,Incomplete higher,Married,House / apartment,Accountants,High
7,5008830,Female,No,Yes,No,0,2,31,157500.0,27.46394518710172,4.021985393266117,Working,Secondary / secondary special,Married,House / apartment,Laborers,High
8,5008834,Female,No,Yes,No,1,2,44,112500.0,30.02936405264995,4.435409351321383,Working,Secondary / secondary special,Single / not married,House / apartment,Other,Low
9,5008836,Male,Yes,Yes,No,3,5,24,270000.0,34.74130201167717,3.1841858491276342,Working,Secondary / secondary special,Married,House / apartment,Laborers,Low
10,5008838,Male,No,Yes,No,1,3,39,405000.0,32.42229477675791,5.519620526088831,Commercial associate,Higher education,Married,House / apartment,Managers,Low
11,5008844,Male,Yes,Yes,No,0,2,43,112500.0,56.132569457278386,12.183686181098858,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,Low
12,5008854,Female,Yes,Yes,No,2,4,39,135000.0,43.15215233714587,8.687378933174534,Working,Secondary / secondary special,Married,House / apartment,Laborers,Low
13,5008868,Female,No,Yes,No,1,3,24,211500.0,44.38694839729769,19.436401842611417,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,Low
14,5008872,Male,Yes,Yes,No,0,2,10,360000.0,45.64090980649842,14.686133185486357,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,High
15,5008873,Female,No,Yes,No,2,4,21,126000.0,33.98016386373437,4.854309123390624,Commercial associate,Higher education,Married,House / apartment,Managers,Low
16,5008884,Female,No,Yes,Yes,0,1,40,315000.0,55.26739084307001,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,Low
17,5008888,Female,No,Yes,No,0,1,11,247500.0,46.58822563091645,3.68796073841352,Commercial associate,Higher education,Separated,Rented apartment,Core staff,Low
18,5008891,Female,No,Yes,No,0,1,7,297000.0,42.48957884145465,8.854391260600833,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers,Low
19,5008942,Female,No,No,No,0,2,43,157500.0,37.35052738933722,13.267897355866308,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,High
20,5008947,Male,No,Yes,No,0,2,12,135000.0,42.39375209621005,3.8549730658398182,Working,Secondary / secondary special,Married,House / apartment,Drivers,Low
21,5008951,Male,No,Yes,No,1,3,45,225000.0,28.257938219128388,7.688042875623729,Working,Secondary / secondary special,Married,House / apartment,Other,Low
22,5008955,Female,Yes,Yes,No,0,2,4,135000.0,48.69367611929061,4.687296795964325,Working,Secondary / secondary special,Married,House / apartment,Laborers,Low
23,5008966,Male,No,Yes,No,0,2,15,157500.0,43.88043560100481,2.4339993292127833,Working,Secondary / secondary special,Married,House / apartment,Other,High
24,5008974,Female,No,Yes,Yes,0,2,49,112500.0,61.1073464889765,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,Low
25,5008981,Male,Yes,Yes,No,0,2,10,112500.0,57.151070863878104,6.518956583639636,State servant,Secondary / secondary special,Married,House / apartment,Drivers,Low
26,5008991,Female,Yes,Yes,No,0,1,30,270000.0,45.399973989883435,3.269060966344278,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,Low
27,5008998,Female,Yes,Yes,No,0,2,4,270000.0,29.09847567027386,2.266987001786484,Working,Higher education,Married,House / apartment,Managers,Low
28,5009000,Male,Yes,Yes,No,0,2,22,157500.0,27.17920285837491,2.266987001786484,Working,Secondary / secondary special,Married,House / apartment,Drivers,Low
29,5009001,Male,No,Yes,No,0,2,40,166500.0,51.81762801426449,17.183104375859873,Working,Secondary / secondary special,Married,House / apartment,Laborers,Low
30,5009016,Female,No,Yes,No,2,4,24,216000.0,42.28423581593051,8.520366605748235,State servant,Higher education,Married,House / apartment,Other,Low
31,5009027,Female,Yes,Yes,No,0,2,21,270000.0,54.37757106579875,29.687125676776382,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,Low
32,5009028,Female,Yes,Yes,No,0,2,17,225000.0,39.56275625098394,7.603167758407086,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,High
33,5009031,Female,No,Yes,No,0,1,13,315000.0,28.89587055175671,3.269060966344278,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,Low
34,5009033,Female,No,No,Yes,0,2,16,255150.0,51.149578704559296,0.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Other,Low
35,5009039,Female,No,Yes,No,2,3,8,157500.0,39.22325578211736,1.5195383888786218,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,Low
36,5009042,Female,No,Yes,No,0,2,20,148500.0,48.299417510284265,2.4339993292127833,Working,Higher education,Married,House / apartment,Core staff,Low
37,5009050,Female,No,Yes,No,2,4,34,202500.0,30.108763355852616,6.2670691389966935,Working,Higher education,Married,House / apartment,Core staff,Low
38,5009056,Male,No,Yes,No,0,1,24,202500.0,24.26059398892517,2.4339993292127833,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,Low
39,5009058,Female,Yes,Yes,No,0,1,0,112500.0,20.504185575336933,2.1821118845698404,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Private service staff,Low
40,5009060,Female,No,Yes,Yes,0,2,3,94500.0,61.14020137306037,0.0,Pensioner,Higher education,Married,House / apartment,Other,Low
41,5009062,Male,Yes,Yes,No,0,2,45,315000.0,28.611128223029905,5.68663285351513,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,Low
42,5009071,Female,Yes,Yes,No,0,2,20,270000.0,28.10187751973004,8.687378933174534,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,High skill tech staff,Low
43,5009074,Female,Yes,Yes,No,1,3,22,450000.0,48.532139605878285,1.9384381609478631,State servant,Higher education,Married,House / apartment,Core staff,Low
44,5009078,Male,No,Yes,No,1,3,30,180000.0,38.6647227526917,3.520948410987221,Working,Secondary / secondary special,Married,With parents,Drivers,Low
45,5009079,Female,No,Yes,No,0,2,43,112500.0,27.554296118332346,8.687378933174534,Working,Higher education,Civil marriage,House / apartment,Laborers,Low
46,5009083,Male,No,Yes,No,0,2,51,90000.0,56.21196876048105,15.688207150044148,Working,Secondary / secondary special,Married,House / apartment,Drivers,Low
47,5009088,Male,Yes,No,No,2,4,46,202500.0,40.32937021294072,8.18360404388865,Commercial associate,Higher education,Married,House / apartment,Laborers,Low
48,5009090,Male,Yes,Yes,No,0,2,13,247500.0,34.57428968425087,11.020075703128745,Working,Secondary / secondary special,Married,House / apartment,Drivers,Low
49,5009092,Male,Yes,Yes,No,1,3,3,765000.0,33.394251764238824,3.269060966344278,Working,Higher education,Married,House / apartment,Managers,High
50,5009096,Female,No,Yes,No,1,3,24,270000.0,37.451829948595794,12.022149667686536,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,Low
51,5009099,Female,No,Yes,No,0,1,56,315000.0,36.33476388974449,1.5195383888786218,Working,Higher education,Separated,House / apartment,Managers,Low
52,5009103,Male,Yes,Yes,No,2,4,38,157500.0,35.20674620286522,11.104950820345389,Working,Secondary / secondary special,Married,With parents,Drivers,Low
53,5009108,Male,No,Yes,No,0,2,7,360000.0,41.94747325407092,7.52103054819743,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,Low
54,5009110,Female,No,Yes,No,0,2,3,112500.0,24.208573755792383,0.8542269861804144,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,High
55,5009116,Female,No,No,No,0,1,35,157500.0,43.08644256897814,1.1827758270190354,Commercial associate,Higher education,Separated,With parents,Other,Low
56,5009133,Male,No,Yes,Yes,0,1,16,382500.0,59.33865856246192,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,Low
57,5009141,Female,No,No,No,0,2,33,135000.0,26.439967966488016,4.271134930902072,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,Low
58,5009143,Male,Yes,No,Yes,0,2,11,225000.0,50.073581250812815,0.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,High
59,5009145,Male,Yes,No,No,0,2,36,315000.0,43.327378385593136,10.185014065997247,Working,Higher education,Married,House / apartment,Managers,Low
60,5009151,Female,No,No,No,0,2,29,180000.0,53.59452966180004,7.942668227273661,Working,Secondary / secondary special,Married,House / apartment,Sales staff,Low
61,5009163,Female,No,No,No,0,2,12,157500.0,35.360068995256576,8.690116840181522,Working,Secondary / secondary special,Married,House / apartment,Sales staff,Low
62,5009170,Female,Yes,No,Yes,0,2,30,144000.0,62.63509859887609,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,Low
63,5009177,Male,Yes,No,No,0,2,49,229500.0,50.1721459030644,3.4388112007775655,Working,Incomplete higher,Married,Co-op apartment,Laborers,High
64,5009186,Female,No,No,No,0,2,3,270000.0,48.11323983380905,15.857957384477436,Working,Higher education,Married,House / apartment,Managers,High
65,5009195,Female,No,No,No,0,2,21,292500.0,57.3673655174302,23.7759844486882,State servant,Secondary / secondary special,Married,House / apartment,Accountants,Low
66,5009213,Female,No,No,No,0,2,22,270000.0,33.76660711718927,2.3546000260101163,Working,Higher education,Married,House / apartment,Accountants,Low
67,5009220,Female,Yes,No,No,0,2,27,225000.0,40.15688207150044,2.1848497915768292,Working,Secondary / secondary special,Married,House / apartment,Managers,Low
68,5009238,Male,Yes,No,No,0,2,24,157500.0,29.051931251155057,2.6886246808627146,Working,Incomplete higher,Married,With parents,Drivers,Low
69,5009242,Female,No,No,No,0,1,34,74250.0,52.2447415073547,14.354846437640743,Working,Higher education,Separated,Municipal apartment,Core staff,Low
70,5009246,Female,No,No,No,0,2,31,135000.0,38.8810174062438,5.8563830879484176,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,Low
71,5009249,Male,Yes,No,No,1,3,26,135000.0,27.26134006858457,2.521612353436415,Working,Secondary / secondary special,Married,House / apartment,Drivers,Low
72,5009255,Female,No,No,No,0,1,6,144000.0,43.72437490160647,24.60557027180572,Working,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,Low
73,5009260,Female,No,No,No,0,2,19,202500.0,39.869401835766645,3.5236863179942093,State servant,Higher education,Married,With parents,Core staff,Low
74,5009264,Female,No,No,Yes,0,1,21,40500.0,57.745196684394614,0.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other,High
75,5009265,Male,Yes,No,No,0,2,47,337500.0,28.10735333374402,4.523022375545015,State servant,Higher education,Married,With parents,Managers,Low
76,5009270,Male,No,No,No,0,2,28,180000.0,40.46900347029713,6.688706818072924,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,Low
77,5009278,Female,No,No,No,0,2,20,130500.0,41.45191208580601,13.185760145656651,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff,Low
78,5009295,Female,No,No,Yes,0,2,33,144000.0,57.60830133404519,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,Low
79,5009297,Female,No,No,No,0,1,22,193500.0,44.077564905507984,5.108934475040555,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,High
80,5009302,Female,No,No,Yes,0,1,25,112500.0,60.40096648117346,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,Low
81,5009306,Female,Yes,No,Yes,0,2,60,135000.0,55.141447120748545,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,Low
82,5009325,Male,Yes,No,No,0,2,16,267750.0,57.47140598369576,12.942086422034675,Working,Higher education,Married,House / apartment,Laborers,Low
83,5009335,Female,No,No,No,0,1,9,139500.0,44.36230723423479,19.43913974961841,Working,Higher education,Separated,House / apartment,Managers,Low
84,5009338,Male,No,No,No,0,2,12,67500.0,51.12767544850339,14.521858765067044,Working,Secondary / secondary special,Married,House / apartment,Security staff,Low
85,5009340,Male,Yes,No,No,0,2,57,252000.0,29.432500325126455,6.688706818072924,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,Low
86,5009349,Male,No,No,No,0,2,30,180000.0,57.92042273284188,0.355927910908506,Commercial associate,Lower secondary,Married,House / apartment,Drivers,Low
87,5009355,Female,No,No,No,0,2,25,135000.0,53.914864781617695,14.4369836478504,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,Low
88,5009359,Female,Yes,No,No,0,1,15,900000.0,52.19272127422192,20.27146347974291,Working,Higher education,Single / not married,House / apartment,Managers,High
89,5009361,Male,Yes,No,No,0,2,47,180000.0,40.70446347289814,1.6044135060952651,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,Low
90,5009368,Male,Yes,No,Yes,0,2,40,115290.0,63.48384977104253,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,Low
91,5009378,Female,No,No,No,2,4,39,225000.0,30.886328945837356,4.774909820187958,Working,Higher education,Married,House / apartment,Core staff,Low
92,5009379,Male,Yes,No,No,1,3,32,135000.0,25.818463075901622,3.2717988733512664,Working,Secondary / secondary special,Married,House / apartment,Sales staff,Low
93,5009383,Female,No,No,No,0,2,30,450000.0,40.296515328856856,15.272045284981896,State servant,Higher education,Married,House / apartment,Managers,Low
94,5009389,Male,No,No,No,0,1,21,279000.0,30.2319691711671,8.690116840181522,State servant,Higher education,Single / not married,House / apartment,Core staff,High
95,5009396,Female,No,No,No,1,3,55,76500.0,34.24026502939827,1.3552639684593113,Working,Higher education,Civil marriage,House / apartment,Accountants,Low
96,5009402,Male,No,No,No,0,2,7,202500.0,56.41183597199121,0.6899525657611039,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,Low
97,5009404,Female,No,No,No,2,4,7,67500.0,28.28531728919827,1.1855137340260238,Commercial associate,Higher education,Married,House / apartment,Core staff,Low
98,5009405,Male,No,No,No,0,2,20,234000.0,38.11987925830099,6.269807046003683,Working,Incomplete higher,Married,House / apartment,Drivers,Low
99,5009415,Female,No,No,No,0,1,7,90000.0,52.85255686290615,1.2703888512426675,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,High
100,5009423,Female,No,No,No,0,2,9,81000.0,53.57810221975811,2.7734997980793583,Working,Secondary / secondary special,Civil marriage,House / apartment,Security staff,Low
101,5009424,Male,No,No,No,0,1,38,108000.0,22.40155513117997,3.6058235282038646,Working,Secondary / secondary special,Single / not married,Co-op apartment,Cooking staff,High
102,5009426,Male,No,No,Yes,0,2,10,99000.0,54.6048173473788,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,Low
103,5009428,Male,No,No,No,0,1,14,198000.0,23.70206095949951,3.186923756134622,Working,Secondary / secondary special,Single / not married,With parents,Laborers,Low
